BusStopCode,Description,Latitude,Longitude,RoadName
67441,Sengkang Community Hub,1.3923095386042,103.8934666647416,Sengkang East Rd
67449,Blk 323B,1.39203289077574,103.89307115004729,Sengkang East Rd
67471,Layar Stn Exit B,1.39218567915754,103.88018144124133,Sengkang West Ave
67479,Layar Stn Exit A/Blk 417A,1.39198203746983,103.88019668070044,Sengkang West Ave
67481,Fernvale Stn/Blk 439A,1.39149794105559,103.87764586518084,Sengkang West Ave
67489,Opp Fernvale Stn,1.39100245036434,103.87708498686095,Sengkang West Ave
67491,Opp Fernvale Pr Sch,1.39087538517899,103.87466488789592,Sengkang West Ave
67499,Fernvale Pr Sch,1.39068028707514,103.87467870992985,Sengkang West Ave
67501,Blk 117C,1.38354973187936,103.903650012666,Sengkang East Dr
67509,Opp Blk 119A,1.38409640027402,103.9043380418217,Sengkang East Dr
67511,Blk 121E,1.38603041619808,103.90624523161839,Sengkang East Dr
67519,Opp Blk 121E,1.38565333297959,103.9062883329725,Sengkang East Dr
67521,Blk 160,1.38710967446608,103.90839913039454,Sengkang East Dr
67529,Opp Blk 157A,1.38731666838873,103.9092635072425,Sengkang East Dr
67531,Blk 158C,1.38786807176296,103.90676693747147,Sengkang East Way
67539,Blk 122C,1.38772020397705,103.90661294770753,Sengkang East Way
67541,Hockey Stadium,1.39478256874239,103.88633251190507,Sengkang East Way
67549,Opp Hockey Stadium,1.39454660425441,103.88618230819876,Sengkang East Way
67551,Blk 471A,1.39600529337669,103.87927293767908,Sengkang West Way
67559,Opp Blk 471A,1.3954939065925,103.88094503218825,Sengkang West Way
67561,Opp Blk 432A,1.39545828505824,103.87697696683591,Sengkang West Way
67569,Blk 432A,1.39504999232889,103.87700000087196,Sengkang West Way
67571,Aft Lor Tanggam,1.39515796674426,103.87391924861367,Sengkang West Way
67579,Bef Jln Kayu,1.39483619700068,103.8734686374815,Sengkang West Way
67591,Blk 286B,1.39790048032037,103.8953647897483,Sengkang East Rd
67599,Opp Blk 293D,1.3972004371065,103.89490664468322,Sengkang East Rd
67601,Buangkok Stn Exit B,1.38334470717282,103.8932683273077,Sengkang Ctrl
67609,Buangkok Stn Exit A,1.38393305306468,103.89303978530081,Sengkang Ctrl
67611,Blk 204C,1.38776293807936,103.89426271274473,Sengkang Ctrl
67619,Blk 201C,1.38776797851536,103.89401435851151,Sengkang Ctrl
67621,Opp Blk 558,1.38095802621952,103.89025132744938,Buangkok Dr
67629,Blk 557,1.38027975053648,103.89060499842181,Buangkok Dr
68011,Bef Jln Kayu,1.3913169267408,103.8701030697383,Sengkang West Ave
68019,Aft Jln Kayu,1.39106694073297,103.87060612962611,Sengkang West Ave
68031,Jln Kayu Shophouse,1.39705024252478,103.87307298530668,Jln Kayu
68039,Aft Abundant Grace Ch,1.39652972197871,103.87311388899468,Jln Kayu
68049,Opp Jln Tari Lilin,1.39851660309414,103.8729604565282,Jln Kayu
68051,Bef TPE,1.39955011852479,103.87232065200857,Jln Kayu
68059,Aft TPE,1.39978638898633,103.87243527803194,Jln Kayu
68061,Sing-China Bldg,1.40719212135322,103.87206315994297,Piccadilly
68069,Opp Sing-China Bldg,1.40757217631739,103.87228032413654,Piccadilly
68081,Bef Seletar A'Space Rise,1.40559323576727,103.86681241814273,Seletar Aerospace Dr
68089,Aft Seletar A'Space Rise,1.40570196065228,103.86666745163518,Seletar Aerospace Dr
68091,Aft Baker St,1.40885699822728,103.8711692911676,Seletar Aerospace Dr
68099,Bef Baker St,1.40885009957996,103.87095311541565,Seletar Aerospace Dr
68101,Rolls Royce Pte Ltd,1.40378584520974,103.86344710129676,Seletar Aerospace Dr
68109,Opp Rolls Royce Pte Ltd,1.40400332581506,103.86349233396736,Seletar Aerospace Dr
68111,Bef Seletar Camp G,1.40222194447692,103.87138805557646,Jln Kayu
68119,Aft Seletar Camp G,1.40231306085319,103.87194871751426,Jln Kayu
68121,Bef West Camp Rd,1.40580853768965,103.85999518683653,Seletar Aerospace Dr
68129,Aft West Camp Rd,1.40606522969086,103.86016462232045,Seletar Aerospace Dr
68131,Opp Youth Flying Club,1.41460695862945,103.86188939696589,West Camp Rd
68139,Youth Flying Club,1.4144389729383,103.86207999648197,West Camp Rd
68141,Opp Seletar Airport,1.42043301652737,103.86347697141191,West Camp Rd
68149,ST Aerospace,1.41891604556531,103.86279700000911,West Camp Rd
68151,BEF SHELL AVIATION,1.42333311184046,103.86619112165944,West Camp Rd
68159,AFT SHELL AVIATION,1.42306890210566,103.86626907370781,West Camp Rd
68161,Aft Seletar A'Space Lane,1.41076903489058,103.86179481507453,West Camp Rd
68169,Bef Seletar A'Space Lane,1.4107138403801,103.86188409763393,West Camp Rd
68171,Bef Yishun Ave 8,1.42704251041342,103.85535247743789,Yishun Ave 1
68179,Aft Yishun Ave 8,1.42698397142724,103.85550329736579,Piccadilly
70011,Opp Blk 125,1.32317687661433,103.88116008329277,Aljunied Rd
70019,Blk 125,1.32322990499562,103.88145725676175,Aljunied Rd
70021,Opp Canossa Convent Pr,1.32640814876454,103.88033937941422,Aljunied Rd
70029,Aft Canossa Convent Pr,1.32662552821417,103.88054354805391,Aljunied Rd
70031,Opp Aljunied Pk,1.3292670732562,103.87941087761011,Aljunied Rd
70039,Aljunied Pk,1.32930256265165,103.87975573742911,Aljunied Rd
70121,Aft Jln Muhibbah,1.3319080537309,103.88114282141879,MacPherson Rd
70129,Opp Jln Muhibbah,1.33157543468156,103.88058185579888,MacPherson Rd
70131,Bef Davidson Rd,1.3327616336301,103.88503448837113,MacPherson Rd
70139,Aft Jln Belangkas,1.33218202150261,103.88328460405727,MacPherson Rd
70141,Citimac Ind Cplx,1.33325940650465,103.88723373413463,MacPherson Rd
70149,MacPherson Green Condo,1.33291249995394,103.88646305557553,MacPherson Rd
70251,Macpherson Stn Exit C,1.32497158481981,103.89037074589527,Paya Lebar Rd
70259,Macpherson Stn Exit B,1.32498730068675,103.89080428753108,Paya Lebar Rd
70261,Opp Orion @ Paya Lebar,1.32884296980066,103.88962746952593,Paya Lebar Rd
70269,Citipoint Ind Cplx,1.32824611112671,103.89014388885742,Paya Lebar Rd
70271,Le Crescendo,1.33078171512111,103.88931512831826,Paya Lebar Rd
70279,Opp Trinity @ Paya Lebar,1.33155751923227,103.88951499040957,Paya Lebar Rd
70281,Aft Tai Seng Stn,1.33530627797371,103.8879999999696,Upp Paya Lebar Rd
70289,Aft Tai Seng Stn Exit C,1.3350640000249,103.8886929999761,Upp Paya Lebar Rd
70291,Asiawide Ind Bldg,1.33743499996855,103.88713611112668,Upp Paya Lebar Rd
70299,Opp Asiawide Ind Bldg,1.3374750000156,103.88758305557131,Upp Paya Lebar Rd
70301,Aft Paya Lebar St,1.33965760027057,103.88575915318087,Upp Paya Lebar Rd
70309,Opp Paya Lebar St,1.33965000001824,103.88639700003634,Upp Paya Lebar Rd
75009,Tampines Int,1.35407552367477,103.94339098473914,Tampines Ctrl 1
75031,Opp Springfield Sec Sch,1.35080696753697,103.92946243284943,Tampines Ave 8
75039,Springfield Sec Sch,1.3506577199911,103.92956819494434,Tampines Ave 8
75051,TAMPINES WEST STN EXIT B,1.34503394154132,103.94008153173421,Tampines Ave 1
75059,BEF TAMPINES WEST STN,1.34471168546511,103.9402168928283,Tampines Ave 1
75151,Opp Blk 871A,1.35451781224143,103.93145206236657,Tampines Ave 8
75159,Blk 874,1.35405115206724,103.93146643451303,Tampines Ave 8
75171,UWCSEA,1.3575,103.9313,Tampines Ave 5
75179,Blk 871C,1.357,103.9317,Tampines Ave 5
75221,Opp Temasek Poly East G,1.34567355960876,103.93595044893453,Tampines Ave 1
75229,Temasek Poly East G,1.34499782605889,103.93676608938834,Tampines Ave 1
75231,Opp Temasek Poly,1.34707779444929,103.93265533979496,Tampines Ave 1
75239,Temasek Poly,1.34675259898315,103.93257655832721,Tampines Ave 1
75241,Opp Temasek Poly West G,1.34844803009871,103.92980219657613,Tampines Ave 1
75249,Temasek Poly West G,1.34791499671757,103.93017010145029,Tampines Ave 1
75291,Aft Tampines Ave 9,1.36149182194897,103.93076720725303,Tampines Ave 10
75299,Bef Tampines Ave 9,1.36239101738996,103.93106617032824,Tampines Ave 10
75311,Tampines Dormitory,1.36707803417357,103.93078207971784,Tampines Ave 10
75319,Opp Tampines Dormitory,1.36720805556001,103.93106194445039,Tampines Ave 10
75351,Bef TPE,1.37364163782281,103.93077504301999,Tampines Ave 10
75359,Aft TPE,1.37438650022455,103.93147946559002,Tampines Ave 10
75361,Bef Tampines Ind Ave 5,1.3706441545828,103.93030234430374,Tampines Ave 10
75369,Opp HNS Micro Siltronic,1.37079630405212,103.93056528604264,Tampines Ave 10
