Postal,Latitude,Longtitude,Blk_no,Road_Name,Building,Address
823102,1.398761278,103.904939,102C,PUNGGOL FIELD,HDB-PUNGGOL,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102
823106,1.397366642,103.9075622,106C,PUNGGOL FIELD,HDB-PUNGGOL,106C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823106
823110,1.395397332,103.910034,110C,PUNGGOL FIELD,HDB-PUNGGOL,110C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823110
823128,1.392549137,103.9125609,128C,PUNGGOL FIELD WALK,HDB-PUNGGOL,128C PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 823128
823173,1.396185406,103.9105619,173C,PUNGGOL FIELD,HDB-PUNGGOL,173C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823173
823175,1.398134688,103.9081481,175C,PUNGGOL FIELD,HDB-PUNGGOL,175C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823175
823196,1.399279585,103.9074976,196C,PUNGGOL FIELD,HDB-PUNGGOL,196C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823196
823199,1.400647082,103.9060066,199C,PUNGGOL FIELD,HDB-PUNGGOL,199C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823199
824101,1.398484785,103.9061439,101D,PUNGGOL FIELD,HDB-PUNGGOL,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101
824102,1.398480708,103.9052498,102D,PUNGGOL FIELD,HDB-PUNGGOL,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102
824106,1.397626067,103.9073581,106D,PUNGGOL FIELD,HDB-PUNGGOL,106D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824106
824110,1.395000712,103.910206,110D,PUNGGOL FIELD,HDB-PUNGGOL,110D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824110
824128,1.392967719,103.911962,128D,PUNGGOL FIELD WALK,HDB-PUNGGOL,128D PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 824128
820175,1.398154006,103.9086268,175,PUNGGOL FIELD,MULTI STOREY CAR PARK,175 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820175
821288,1.402377994,103.9030395,288A,PUNGGOL PLACE,PUNGGOL ARCADIA,288A PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 821288
821289,1.40157247,103.9026191,289A,PUNGGOL PLACE,PUNGGOL ARCADIA,289A PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 821289
822288,1.402675272,103.9032975,288B,PUNGGOL PLACE,PUNGGOL ARCADIA,288B PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 822288
822289,1.401343561,103.903127,289B,PUNGGOL PLACE,PUNGGOL ARCADIA,289B PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 822289
823288,1.402550903,103.9035571,288C,PUNGGOL PLACE,PUNGGOL ARCADIA,288C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823288
823289,1.401549241,103.9035195,289C,PUNGGOL PLACE,PUNGGOL ARCADIA,289C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823289
821617,1.402329257,103.9118114,617A,PUNGGOL DRIVE,PUNGGOL BREEZE,617A PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 821617
821618,1.401126351,103.9124627,618A,PUNGGOL DRIVE,PUNGGOL BREEZE,618A PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 821618
821619,1.402605242,103.9114267,619A,PUNGGOL DRIVE,PUNGGOL BREEZE,619A PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 821619
822617,1.40215673,103.9121478,617B,PUNGGOL DRIVE,PUNGGOL BREEZE,617B PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 822617
822618,1.40146582,103.912122,618B,PUNGGOL DRIVE,PUNGGOL BREEZE,618B PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 822618
822619,1.402881227,103.911042,619B,PUNGGOL DRIVE,PUNGGOL BREEZE,619B PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 822619
